,id,name
86,b6adad91-cac8-4d37-83ac-2dfeed0b2ad2,Freibad
87,0f87d3ac-e710-48ac-9625-ff462e3ff625,Apotheke
88,c6521e3b-57a9-461d-9b9b-8bc9c4dc88dd,Wasserfall
89,e93832ee-95e8-46de-b727-c6ac75af02e1,Wanderführer/in
90,5e2b5bc0-ea05-4c87-9aeb-41991e16384a,Arzt
91,ca33e08e-5d0d-4380-b559-9e29d9236627,Parkhaus
92,fb6bb3b3-ae08-4cab-82f4-751bfa45abfc,Boardinghouse
93,d0e480bd-8cc9-4271-9060-ea1e8164702d,Gästehaus
94,7f54cac9-0a65-40a4-afb3-36288da17c7c,Bioladen
95,e31a149f-a602-4bed-86d5-ee81f0a530ec,Schießstand
96,036cf5dd-ff1e-4d75-9125-6e743c5ca385,Denkmal
97,3cd4ec19-ed59-4f76-b01c-0a42d0a01244,Photopoint
98,aa642555-bbfc-49b9-b1c1-ad8f8a76d852,Bushaltestelle
99,93d61b8e-d332-4977-83d6-0c48e4b48e9c,Ferienzimmer
100,e64836de-d3a4-4a41-8877-4e7c70d1148f,Treffpunkt
101,85e2e4b4-e187-4e27-b4f3-fc9278a51b86,Konditorei
102,f91122a9-7767-4e05-ae75-f44d4eec21e2,Apart-/Apartmenthotel
103,76a0f4cc-47bf-43e6-8cd6-bfa8226fdaa6,Kneipe
104,f4e0ca71-5ee6-484b-a51b-e345dc616fa6,Infotafel
105,76ae7314-0973-49c1-a9fc-1a36be865a35,Café
106,98eeb1c8-557d-34bc-a722-c65c1434e52a,Stadtrundgang
107,0ecbe50c-4997-42ee-b6b1-ed8d35481f15,Marktplatz
108,a3294acb-6688-4621-8866-3a87bc44c596,Bistro
109,e33347ea-80d2-4994-b907-b8942d3b4d62,Umweltstation
110,f1130240-43dc-4c11-99fb-1f4c9854cdc1,Barfußpfad
111,6072f4a3-b1a0-4f96-993b-ce43d646b4bb,Trinkbrunnen
112,a3c06fb7-97d1-48bc-a75e-0e697d8a4d1e,Mediathek / Bibliothek
113,dc366c4c-1074-474d-9cde-63028c6bef24,Ferienhaus
114,9a18aedb-b862-4e9e-93d8-671bd335ee52,Kino
115,0f8081b4-d0eb-421b-9b49-229fccd29f3b,Historisches Gebäude
116,fe778a5e-fe4c-4563-bf1a-465c10570626,Erlebnisgastronomie
117,6711543c-968b-4c87-a318-9c3998101495,Geotop
118,88183ab4-9cdd-4c4e-84f7-07f60c6f584b,Stadtteil
119,a66f719c-9738-4819-8abc-3df9d0fc2592,Lebensmittelgeschäft
120,a9470824-444f-4888-b1ba-7ecf4ed43b86,Kurklinik
121,23e2e449-e9b8-4e0b-9bc1-c19948280369,Rastplatz
122,c4ae1672-5e14-4390-894c-4af2b4502737,Bar
123,c755b218-3613-4ef5-bb2c-056282bd1b0e,Kloster
124,c1abb1c6-50a3-4be0-b953-95315f884dc9,Gartenanlage
125,2eedc064-df2c-4b88-b769-dbd995c4acfa,Gemeindezentrum
126,70c25893-8714-4a97-b008-528eccab2141,See
127,affe6699-6896-4a2f-8fd0-902b283816fc,E-Bike Verleih
128,ba1b9ef2-ff81-3496-9b80-528bc52e1f10,Campingplatz
129,d7b733dd-173d-4d65-86f0-a7b9c3d6c9c2,Aussichtsturm
130,97b92c20-8ff5-448e-a38b-7313fc463ca9,Post- / Paketannahmestelle
131,1d204cf8-64b0-40bd-9d64-c224c3abfeed,Bankfiliale
132,c5a33167-085c-4249-934b-e685852ae973,Weinlokal
133,9988aa89-0786-4dc6-9069-d861907521ad,Streetfood
134,0d22fc5f-d705-441c-9229-d93934d6b6ea,Minigolfplatz
135,bfea6b36-87b5-4704-a54a-12b9dc209302,Sauna
